County,Waste,Activity,Permit,Name,Status,Address,City,Contact,Phone
Union,MSW,Trans,9005T-TRANSFER-1999,Union County Transfer Station,Active,2125 Austin Chaney Road,Wingate,Mr. Christopher Medlin,(704) 989-1949
Union,LCID,LF,9013-LCID-,Griffin Farm LCID Landfill,Active,4242 Morgan Mill Rd,Monroe,Mr. Richard Griffin,(704) 361-7791
Union,MSW,Trans,9014-TRANSFER-2014,God Bless the USA Transfer Station,Active,3320 Westwood Industrial Drive,Monroe,Mr. Tim Fadul,(704) 398-4488
Vance,MSW,Trans,9102T-TRANSFER-1997,Waste Industries-Vance County,Active,3453 Hwy 39 N,Henderson,Mr. Randy Deming,(260) 579-1861
Wake,HHW,Collection,9203-HHW-2009,South Wake Co Feltonsville HHW Facility,Active,6130 Old Smithfield Road,Apex,Ms. Meghan Baldwin,(919) 856-5698
Wake,MSW,Trans,9211T-TRANSFER-1990,"Cary, Town of Transfer Station",Active,313 N. Dixon Ave.,Cary,Mr. Robert (Bob) Holden,(919) 469-4388
Wake,Type I,Compost,9213-COMPOST-1991,"Raleigh, City of Yard Waste Facility",Active,900 N. New Hope Rd,Raleigh,Mr. Stan Joseph,(919) 996-6880
Wake,MSW,Trans,9215T-TRANSFER-1994,Waste Management Of Raleigh/Durham Transfer Station,Active,10411 GLOBE RD,Morrisville,Mr. TRAVIS MCCLUNG,(919) 389-3362
Wake,MSW,Trans,9217-TRANSFER-1994,WI Garner Transfer Station,Active,3741 Conquest Drive,Garner,Mr. Nicholas Zdeb,(919) 662-7100
Wake,HHW,Collection,9218-HHW-2009,North Wake Co HHW Collection Facility,Active,9037 Deponie Drive,Raleigh,Ms. Meghan Baldwin,(919) 856-5698
Wake,MSW,LF,9222-MSWLF-2008,Wake County South Wake MSWLF,Active,6300 Old Smithfield Road,Apex,Mr. John Roberson,(919) 856-6365
Wake,LCID,LF,9223-LCID-2010,Buffaloe LCID Landfill & Wood Recycling Facility,Active,5525 Wake Academy Drive,Raleigh,Mr. Tommy Williams,(919) 772-4166
Wake,LCID,TP,9223-LCID-2010,Buffaloe LCID Landfill & Wood Recycling Facility,Active,5525 Wake Academy Drive,Raleigh,Mr. Tommy Williams,(919) 772-4166
Wake,MatRecovery,TP,9224-MWP-2012,"Wake Reclamation, LLC",Active,421 Raleigh View Rd,Raleigh,Mr. Donald Plessinger,(919) 557-9583
Wake,CD,LF,9226-CDLF-2020,"Shotwell Landfill, Inc ",Active,4724 Smithfield Road,Wendell,Mrs. Katie Webb,(919) 876-8485
Wake,CD,MatRecovery,9226-MWP-2016,Shotwell Landfill Recycling Center,Active,4724 Smithfield Road,Wendell,Mrs. Katie Webb,(919) 876-8485
Wake,CD,Trans,9227T-TRANSFER-2012,Raleigh Transfer Station,Active,5565 Thornton Rd,Raleigh,Mr. Karl Regali,(919) 433-0906
Wake,CD,LF,9228-CDLF-2001,Red Rock Disposal C&D Landfill,Active,7130 New Landfill Drive,Holly Springs,Mr. Donald Plessinger,(919) 557-9583
Wake,CD,Trans,9229T-TRANSFER-2009,Shotwell Transfer Station II,Active,1506 N Salem Street,Apex,Mrs. Katie Webb,(919) 876-8485
Wake,CD,LF,9230-CDLF-2014,"Greenway Waste Solutions of Apex, LLC",Active,5940 Old Smithfield Rd,Apex,Mr. Grant Kiser,(919) 367-2895
Wake,Type I,Compost,9230-COMPOST-,"Greenway Waste Solutions of Apex, LLC",Active,5940 Old Smithfield Rd,Apex,Mr. Grant Kiser,(919) 367-2895
Wake,CD,LF,9231-CDLF-2012,Brownfield Road C&D Landfill,Active,2600 Brownfield Road,Raleigh,Mr. Donald Plessinger,(919) 557-9583
Wake,MSW,Trans,9233T-TRANSFER-2008,"Raleigh, City of East Wake Transfer Station",Active,820 Corporation Parkway,Raleigh,Mr. John Roberson,(919) 856-6365
Wake,CD,Trans,9234-TRANSFER-2012,"Waste Industries, LLC",Active,9220 Durant Rd,Raleigh,Mr. Donald Plessinger,(919) 557-9583
Wake,Type III,Compost,9235-COMPOST-2003,NC State University Compost Facility & Research Cooperative,Active,4231 Inwood Road,Raleigh,Mr. Matt Ball,(919) 830-0766
Wake,CD,Trans,9237T-TRANSFER-2010,"Capital Waste Transfer, LLC",Active,424 Warehouse Drive,Raleigh,Mrs. Katie Webb,(919) 876-8485
Wake,HHW,TP,9239-HHW-2016,Wake HHW Wendell,Active,5051 Wendell Blvd,Zebulon,Ms. Meghan Baldwin,(919) 856-5698
Wake,CD,MatRecovery,9240-MWP-2017,Elite Waste Services Pristine Water Facility,Active,520 Pristine Water Dr.,Apex,Mr. Brian Kiefer,(919) 704-0312
Wake,MSW,Trans,9241-TRANSFER-2017,"Morrisville Transfer Station, LLC",Active,230 International Drive,Morrisville,Mrs. Katie Webb,(919) 876-8485
Wake,LCID,LF,92M-LCID-,Wall Recycling LCID Landfill,Active,3000 Gresham Lake Rd,Raleigh,Mr. Dan Jarboe,(919) 906-2747
Wake,LCID,LF,92N-LCID-1986,Currin Brothers Landfill,Active,4525 Sunset Lake Road,Apex,Mr. Glenn Currin,(919) 876-1138
Wake,LCID,LF,92V-LCID-,Carolina Tree Debris,Active,1417 Old Watkins rd,Raleigh,Mr. Thomas Butler,(919) 880-2852
Warren,MSW,Trans,9302T-TRANSFER-1995,Warren County Transfer Station,Active,559 Baltimore Road,Warrenton,Mr. Marshall Brothers,(252) 257-1948
Washington,Indus,LF,9401-INDUS-2008,"Domtar Paper Company Landfill, Lined #3",Active,Hwy 149 North,Plymouth,Mr. Micheal Clea,(252) 793-8843
Washington,CD,LF,9404-CDLF-1996,Washington County C&D Landfill,Active,718 Landfill Rd,Roper,Mr. Dennis Brown,(252) 793-5615
Watauga,LCID,TP,9502-LCID-2016,Watauga County Landclearing,Active,336 Landfill Road,Boone,Mr. Rex Buck,(828) 264-5305
Watauga,HHW,Collection,9503-HHW-2015,Watauga County Permanent HHW Facility,Active,512 Landfill Road,Boone,Mr. Cole Kiziah,(828) 264-5305
Watauga,MSW,Trans,9503T-TRANSFER-1996,Watauga Co Transfer Facility,Active,463 Landfill Road,Boone,Mr. Rex Buck,(828) 264-5305
Watauga,Type III,Compost,9504-COMPOST-2011,Appalachian State University,Active,265 Dale Street,Boone,Mr. Max Alff,(828) 406-2289
Watauga,Type III,Compost,9505-COMPOST-,Triple T Pumping Compost Facility,Active,1372 NC Hwy 194 N,Boone,Mr. Michael Garlock,(828) 265-9005
Wayne,CD,LF,9601-CDLF-1997,Wayne County CDLF,Active,460B SOUTH LANDFILL ROAD,DUDLEY,Mr. Tim Rogers,(919) 689-2994
Wayne,MSW,LF,9606-MSWLF-1998,Wayne County Landfill,Active,460B SOUTH LANDFILL ROAD,DUDLEY,Mr. Tim Rogers,(919) 689-2994
Wayne,MSW,Trans,9607T-TRANSFER-1997,"Goldsboro, City of Transfer Station",Active,905 Brick Street,Goldsboro,Mr. Tomey Jones,(919) 739-7450
Wilkes,Indus,LF,9703-INDUS-1981,Louisiana-Pacific Corporation,Active,1068 ABTCO Road,North Wilkesboro,Mr. Scott Cranston,(336) 696-3483
Wilkes,MSW,LF,9704-MSWLF-1993,Wilkes County MSWLF,Active,9219 Elkin Highway,Roaring River,Mrs. Anderia Byrd,(336) 696-5806
Wilson,MSW,Trans,9806T-TRANSFER-1997,Waste Industries Wilson Transfer St.,Active,2810 Contentnea Rd,Wilson,Mr. Michael Lee,(252) 243-6460
Wilson,MSW,Trans,9808T-TRANSFER-2000,Waste Industries- Blk. Crk. Rd. Transfer,Active,3031 Black Creek Rd,Wilson,Mr. Michael Lee,(252) 243-6460
Wilson,CD,LF,9809-CDLF-,Wilson County Westside C&D Landfill,Active,2400 NC HWY 42 EAST,Wilson,Mr. Andy Davis,(252) 399-2823
Wilson,Type III,Compost,9810-COMPOST-2016,D&D Septic Compost Facility,Active,7984 Pelt Rd,Stantonsburg,Mr. Daniel Newsome,(919) 920-0368
Yadkin,MSW,Trans,9903T-TRANSFER-1994,Yadkin County Transfer Facility,Active,1149 Landfill Rd,Yadkinville,Ms. Shannon Harris,(336) 849-7912
